2020.07.10,"2,780",-70,"1,706,194"
2020.07.13,"2,850",70,"2,488,945"
2020.07.14,"3,165",315,"5,573,741"
2020.07.15,"2,955",-210,"4,298,172"
2020.07.16,"2,830",-125,"1,751,267"
2020.07.17,"2,895",65,"1,958,797"
2020.07.20,"2,820",-75,"1,072,527"
2020.07.21,"2,800",-20,"1,032,004"
2020.07.22,"2,940",140,"2,128,936"
2020.07.23,"2,870",-70,"1,118,152"
2020.07.24,"2,890",20,"6,144,617"
2020.07.27,"2,865",-25,"1,166,824"
2020.07.28,"2,830",-35,"774,855"
2020.07.29,"2,825",-5,"529,009"
2020.07.30,"2,875",50,"1,459,511"
2020.07.31,"2,840",-35,"645,845"
2020.08.03,"3,060",220,"4,196,191"
2020.08.04,"3,055",-5,"2,494,424"
2020.08.05,"3,285",230,"6,495,023"
2020.08.06,"3,050",-235,"8,440,476"
2020.08.07,"3,085",35,"2,291,123"
2020.08.10,"3,045",-40,"1,243,059"
2020.08.11,"3,050",5,"1,112,106"
2020.08.12,"3,235",185,"8,277,252"
2020.08.13,"3,080",-155,"1,892,924"
2020.08.14,"3,040",-40,"1,166,635"
2020.08.18,"2,955",-85,"1,988,977"
2020.08.19,"2,920",-35,"925,445"
2020.08.20,"2,750",-170,"1,171,846"
2020.08.21,"2,695",-55,"812,022"
